No,Search Term,Job Title,Company,Location,Apply Link
1,"data analyst","Data Analyst","S&P Global Market Intelligence","India","https://www.foundit.in/job/data-analyst-sp-global-market-intelligence-india-48313313"
2,"data analyst","Data Analyst (Chinese Language Expert)","S&P Global Market Intelligence","India","https://www.foundit.in/job/data-analyst-chinese-language-expert-sp-global-market-intelligence-india-48229846"
3,"data analyst","Walk-In Drive For Supply Chain Data Analyst on 26th March at Bangalore","Infosys BPM","Bengaluru, India","https://www.foundit.in/job/walkin-drive-for-supply-chain-data-analyst-on-26th-march-at-bangalore-infosys-bpm-bengaluru-india-48241172"
4,"data analyst","Data Analyst","UK.COM","India","https://www.foundit.in/job/data-analyst-ukcom-india-48392803"
5,"data analyst","Data Analyst","Target","Bengaluru, India","https://www.foundit.in/job/data-analyst-target-bengaluru-india-48394919"
6,"data analyst","Data Analyst","scry ai","Delhi, India","https://www.foundit.in/job/data-analyst-scry-ai-delhi-india-48394665"
7,"data analyst","Senior Data Analyst","Vonage","Bengaluru, India","https://www.foundit.in/job/senior-data-analyst-vonage-bengaluru-india-48394624"
8,"data analyst","Senior Data Analyst","astro arun pandit","Noida, India","https://www.foundit.in/job/senior-data-analyst-astro-arun-pandit-noida-india-48388834"
9,"data analyst","Senior Data Analyst","Battery Smart","Gurugram, Gurugram, India","https://www.foundit.in/job/senior-data-analyst-battery-smart-gurugram-gurugram-india-48389170"
10,"data analyst","Data Analyst (Punjabi Speakers)","Peroptyx","Ludhiana, India","https://www.foundit.in/job/data-analyst-punjabi-speakers-peroptyx-ludhiana-india-48390994"
11,"data analyst","Data Analyst","S&P Global Market Intelligence","India","https://www.foundit.in/job/data-analyst-sp-global-market-intelligence-india-47939572"
12,"data analyst","Sr Data Analyst","Target","Bengaluru, India","https://www.foundit.in/job/sr-data-analyst-target-bengaluru-india-48394504"
13,"data analyst","Sr Data Analyst-2","Target","Bengaluru, India","https://www.foundit.in/job/sr-data-analyst2-target-bengaluru-india-48394500"
14,"data analyst","Senior Data Analyst (Investments)","Ameriprise Financial Services, LLC","Gurugram, Gurugram, India","https://www.foundit.in/job/senior-data-analyst-investments-ameriprise-financial-services-llc-gurugram-gurugram-india-48387729"
15,"data analyst","Data Analyst","Teamware Solutions","Bengaluru, India","https://www.foundit.in/job/data-analyst-teamware-solutions-bengaluru-india-48393990"
16,"data scientist","Data Scientist","Css Corp","Bengaluru, India","https://www.foundit.in/job/data-scientist-css-corp-bengaluru-india-48390178"
17,"data scientist","Data Scientist (Data Science & Python programming)","Gartner","Gurugram, India","https://www.foundit.in/job/data-scientist-data-science-python-programming-gartner-gurugram-india-48394890"
18,"data scientist","Analyst - Cross IB Data Scientist Client Data and Engineering","Barclays","Mumbai, India","https://www.foundit.in/job/analyst-cross-ib-data-scientist-client-data-and-engineering-barclays-mumbai-india-48392936"
19,"data scientist","Data Scientist (w/w/d) for Intellectual Property","Siemens","Bengaluru, India","https://www.foundit.in/job/data-scientist-wwd-for-intellectual-property-siemens-bengaluru-india-48392010"
20,"data scientist","Data Scientist","Capgemini","Noida, India","https://www.foundit.in/job/data-scientist-capgemini-noida-india-48393853"
21,"data scientist","Data Scientist","Cyient","Bengaluru, India","https://www.foundit.in/job/data-scientist-cyient-bengaluru-india-48236458"
22,"data scientist","Data Scientist II - Life Sciences.AI","McKinsey & Company","Gurugram, Gurugram, India","https://www.foundit.in/job/data-scientist-ii-life-sciencesai-mckinsey-company-gurugram-gurugram-india-48238761"
23,"data scientist","Data Scientist","S&P Global Market Intelligence","India","https://www.foundit.in/job/data-scientist-sp-global-market-intelligence-india-48313318"
24,"data scientist","Data Scientist 3 - Machine learning & Python","Adobe","Noida, India","https://www.foundit.in/job/data-scientist-3-machine-learning-python-adobe-noida-india-48238993"
