No,Search Term,Job Title,Company,Location
1,"data analyst","Data Analyst","Ascendion","Hybrid work in Richmond, VA"
2,"data analyst","Data Analyst","Brick Bodies Fitness Services Inc","Timonium, MD 21093"
3,"data analyst","Data Analyst","Brick Bodies Fitness Services Inc","Timonium, MD 21093"
4,"data analyst","Data Analyst","Cervello Global Corporation","Quantico, VA 22134"
5,"data analyst","Operations Data Analyst","Harvard Integrations LP","Tea, SD 57064"
6,"data analyst","Data Analyst","Laborup","Knoxville, TN"
7,"data analyst","Analyst II","Align Technology","Raleigh, NC 27560"
8,"data analyst","Customer Data Analyst","Express","Columbus, OH 43230"
9,"data analyst","Data Analyst","MetLife","Hybrid work in Tampa, FL"
10,"data analyst","Data Analytics Specialist","HD Supply","Atlanta, GA 30339"
11,"data analyst","Data & Reporting Analyst","Invest Puerto Rico","San Juan, PR 00907 
(Santurce area)"
12,"data analyst","Data Analyst, Customer Insights & Analytics","AAA Life Insurance Company","Livonia, MI 48152"
13,"data analyst","Payroll Business Analyst","Fisher Investments","Hybrid work in Plano, TX 75093"
14,"data analyst","Business Analyst","Ametros Financial","Hybrid work in Wilmington, MA"
15,"data analyst","Operations & Power BI Analyst","Resonetics","Bethel, CT 06801"
16,"data analyst","Data Analyst","Steampunk","El Paso, TX 79918"
